Japanese_name,Romanized_name,English_name,Debut,Affiliations,Occupations
"['A.O. (VIZ Media and FUNimation subs)', 'A.O (FUNimation dub)']","['Chapter 551', 'Episode 460']","['A O Pirates', 'Subordinate of the Whitebeard Pirates']","['Pirate', 'Captain']"
Abdullah,"['Chapter 704', 'Episode 633']","['Ideo Pirates', 'Straw Hat Grand Fleet']","['Pirate, Criminal', 'Bounty Hunter (former)']"
Absalom,"['Chapter 444', 'Episode 339']",Thriller Bark Pirates (Mysterious Four) (former),ReporterSoldier Zombie and General Zombie Leader 
"['Agilia', 'Acilia']","['Chapter 706', 'Episode 654']",Corrida Colosseum,Gladiator
Adelle,"['Chapter 608', 'Episode 527']",Mermaid Café,Dancer
Aggie 68,"['Chapter 552', 'Episode 461']",Spade Pirates,Pirate
Agotogi,"['Chapter 163', 'Episode 100']",His own bandit gang,Bandit
Agyo,"['Chapter 706', 'Episode 652']",Corrida Colosseum,Alive
Dumas Regal IX,"['Chapter 587', 'Episode 501']",Goa Kingdom (High Town),Noble
Dumas Fayes,"['Chapter 587', 'Episode 501']",Goa Kingdom (High Town),Noble
Ahiru,"['Chapter 905', 'Episode 883']",Revolutionary Army,East Army Deputy Commander
Aisa,"['Chapter 249', 'Episode 161']","['Shandia', 'Wagomuland']",Sky Islands (Skypiea)
Akumai,"['Chapter 129', 'Episode 78']",Baroque Works,Billions agent
Aladdin,"['Chapter 620', 'Episode 540']","['Sun Pirates', 'Ryugu Kingdom (former)']","['Pirate', 'Doctor', 'First Mate', 'Soldier (former)', 'Slave (former)']"
Albion,"['Chapter 600', 'Episode 519']","['Fake Straw Hat Crew (Former)', 'His own crew']","['Pirate', 'Captain']"
Alpaca-Man,"['Chapter 934', 'Episode 929']",Beasts Pirates,Gifter
Alvida,"['Chapter 2', 'Episode 1']","['Cross Guild', ""Buggy's Delivery, Buggy and Alvida Alliance"", 'Buggy Pirates (Acting Captain, temporarily)', 'Alvida Pirates (formerly)']","['Pirate Captain', '']"
Amadob,"['Chapter 558', 'Episode 467']",Ally of the Whitebeard Pirates,"['Pirate', 'Captain']"
Amazon,"['Chapter 238', 'Episode 153']",Wagomuland,"['Gatekeeper of Skypiea (former)', 'Ticket Saleswoman']"
Ratherby Seifer,"['Chapter 528', 'Episode 425']",Prisoner,Alive
Baskerville,"['Chapter 379', 'Episode 267']",World Government (Enies Lobby),Chief Justices of Enies Lobby
Andre,"['Chapter 558', 'Episode 479']",Whitebeard Pirates,"['Pirate', 'Captain']"
Ankoro,"['Chapter 606', 'Episode 525']",Flying Pirates,Pet
Antonio,"['Chapter 497', 'Episode 391']",Antonio's Graman,Store owner
Aphelandra,"['Chapter 514', 'Episode 408']","['Kuja', 'Kuja Pirates']","Warrior (Former), Pirate"
Aramaki,"['Chapter 905', 'Episode 882']",Marines,Admiral
Arlong,"['Chapter 69', 'Episode 31']","['Arlong Pirates', 'Sun Pirates (former)', 'Impel Down (former)']","['Pirate', 'Captain', 'Prisoner of the Great Prison (former)']"
"['Kicking Claw Force', 'Elite Alabastian Royal Guards']","['Chapter 196', 'Episode 120']",Arabasta Kingdom,Guards
Heercomes Dasun,"['Chapter 483', 'Episode 375']",Marines,Chief Petty Officer
Ashura Doji,"['Chapter 920', 'Episode 910']","['Mt. Atama Thieves', 'Kozuki Family', 'Nine Red Scabbards']","['Bandit', 'Retainer of the Kozuki Family', 'Yakuza Boss (former)', 'Samurai']"
Aswa,"['Chapter 163', 'Episode 100']",Neutral civilian,Arabasta
Atmos,"['Chapter 553', 'Episode 461']",Whitebeard Pirates,"['13th Division Commander', 'Pirate']"
Attach,"['SBS Volume 24', 'Chapter 436', 'Episode 321']","['World Economic Journal', 'Marines Photography Department (former)']","['Reporter', 'Marine Photography Department chief (former)']"
Avalo Pizarro,"['Chapter 575', 'Episode 484']","['Blackbeard Pirates', 'Impel Down (former)']","['Pirate', 'one of the Ten Titanic Captains', 'Captain of the Fourth Ship', 'Prisoner of the Great Prison (former)', 'King (former)']"
